temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
86,0.171,17.1,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
87,0.171021,17.1021,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
88,0.171119,17.1119,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
89,0.171283,17.1283,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
90,0.171498,17.1498,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
91,0.171753,17.1753,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
92,0.172034,17.2034,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
93,0.172331,17.2331,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
94,0.172632,17.2632,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
95,0.172928,17.2928,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
96,0.173208,17.3208,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
97,0.173463,17.3463,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
98,0.173686,17.3686,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
99,0.173867,17.3867,PCHIP_logT_logk,P.Z.J./E.D. transition,5,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
